Month,Year,Price_beef_kilo,Price_rice_kilo,Price_coffee_kilo,Inflation_rate,Price_rice_infl,Price_beef_infl,Price_coffee_infl
Feb,1992,2.52,0.28,1.51,89.59,0.53,4.78,2.86
Mar,1992,2.45,0.28,1.55,89.59,0.53,4.64,2.94
Apr,1992,2.38,0.28,1.45,89.59,0.53,4.51,2.75
May,1992,2.38,0.27,1.34,89.59,0.51,4.51,2.54
Jun,1992,2.33,0.27,1.3,89.59,0.51,4.42,2.46
Jul,1992,2.35,0.28,1.28,89.59,0.53,4.46,2.43
Aug,1992,2.45,0.27,1.17,89.59,0.51,4.64,2.22
Sep,1992,2.44,0.26,1.17,89.59,0.49,4.63,2.22
Oct,1992,2.5,0.25,1.36,89.59,0.47,4.74,2.58
Nov,1992,2.54,0.25,1.48,89.59,0.47,4.82,2.81
Dec,1992,2.54,0.26,1.7,89.59,0.49,4.82,3.22
Jan,1993,2.35,0.26,1.53,84.15,0.48,4.33,2.82
Feb,1993,2.39,0.25,1.49,84.15,0.46,4.4,2.74
Mar,1993,2.53,0.23,1.4,84.15,0.42,4.66,2.58
Apr,1993,2.59,0.21,1.28,84.15,0.39,4.77,2.36
May,1993,2.68,0.18,1.37,84.15,0.33,4.94,2.52
Jun,1993,2.74,0.19,1.38,84.15,0.35,5.05,2.54
Jul,1993,2.82,0.2,1.58,84.15,0.37,5.19,2.91
Aug,1993,2.8,0.21,1.7,84.15,0.39,5.16,3.13
Sep,1993,2.73,0.21,1.78,84.15,0.39,5.03,3.28
Oct,1993,2.67,0.26,1.69,84.15,0.48,4.92,3.11
Nov,1993,2.64,0.31,1.73,84.15,0.57,4.86,3.19
Dec,1993,2.46,0.32,1.79,84.15,0.59,4.53,3.3
Jan,1994,2.42,0.36,1.74,79.47,0.65,4.34,3.12
Feb,1994,2.49,0.34,1.85,79.47,0.61,4.47,3.32
Mar,1994,2.69,0.27,1.92,79.47,0.48,4.83,3.45
Apr,1994,2.63,0.27,2,79.47,0.48,4.72,3.59
May,1994,2.39,0.23,2.69,79.47,0.41,4.29,4.83
Jun,1994,2.23,0.21,3.16,79.47,0.38,4,5.67
Jul,1994,2.19,0.23,4.83,79.47,0.41,3.93,8.67
Aug,1994,2.2,0.25,4.42,79.47,0.45,3.95,7.93
Sep,1994,2.21,0.26,4.89,79.47,0.47,3.97,8.78
Oct,1994,2.12,0.26,4.45,79.47,0.47,3.8,7.99
Nov,1994,2.19,0.26,4.03,79.47,0.47,3.93,7.23
Dec,1994,2.23,0.26,3.72,79.47,0.47,4,6.68
Jan,1995,2.13,0.28,3.81,74.58,0.49,3.72,6.65
Feb,1995,2.16,0.28,3.74,74.58,0.49,3.77,6.53
Mar,1995,2.04,0.29,3.96,74.58,0.51,3.56,6.91
Apr,1995,1.92,0.28,3.84,74.58,0.49,3.35,6.7
May,1995,1.75,0.29,3.77,74.58,0.51,3.06,6.58
Jun,1995,1.66,0.33,3.41,74.58,0.58,2.9,5.95
Jul,1995,1.63,0.35,3.21,74.58,0.61,2.85,5.6
Aug,1995,1.69,0.34,3.38,74.58,0.59,2.95,5.9
Sep,1995,1.76,0.36,2.96,74.58,0.63,3.07,5.17
Oct,1995,1.82,0.38,2.81,74.58,0.66,3.18,4.91
Nov,1995,1.94,0.34,2.76,74.58,0.59,3.39,4.82
Dec,1995,1.91,0.34,2.34,74.58,0.59,3.33,4.09
Jan,1996,1.86,0.37,2.44,69.6,0.63,3.15,4.14
Feb,1996,1.81,0.37,2.74,69.6,0.63,3.07,4.65
Mar,1996,1.72,0.36,2.66,69.6,0.61,2.92,4.51
Apr,1996,1.72,0.33,2.72,69.6,0.56,2.92,4.61
May,1996,1.7,0.33,2.85,69.6,0.56,2.88,4.83
Jun,1996,1.65,0.34,2.77,69.6,0.58,2.8,4.7
Jul,1996,1.68,0.36,2.7,69.6,0.61,2.85,4.58
Aug,1996,1.76,0.34,2.78,69.6,0.58,2.98,4.71
Sep,1996,1.75,0.33,2.62,69.6,0.56,2.97,4.44
Oct,1996,1.79,0.31,2.74,69.6,0.53,3.04,4.65
Nov,1996,1.77,0.32,2.74,69.6,0.54,3,4.65
Dec,1996,1.79,0.32,2.58,69.6,0.54,3.04,4.38
Jan,1997,1.77,0.36,2.93,65.73,0.6,2.93,4.86
Feb,1997,1.84,0.35,3.71,65.73,0.58,3.05,6.15
Mar,1997,2.04,0.32,4.29,65.73,0.53,3.38,7.11
Apr,1997,2,0.3,4.56,65.73,0.5,3.31,7.56
May,1997,1.9,0.32,5.89,65.73,0.53,3.15,9.76
Jun,1997,1.76,0.32,4.89,65.73,0.53,2.92,8.1
Jul,1997,1.8,0.32,4.2,65.73,0.53,2.98,6.96
Aug,1997,1.84,0.28,4.21,65.73,0.46,3.05,6.98
Sep,1997,1.79,0.27,4.19,65.73,0.45,2.97,6.94
Oct,1997,1.76,0.27,3.7,65.73,0.45,2.92,6.13
Nov,1997,1.83,0.25,3.53,65.73,0.41,3.03,5.85
Dec,1997,1.85,0.27,3.91,65.73,0.45,3.07,6.48
Jan,1998,1.82,0.29,3.92,63.2,0.47,2.97,6.4
Feb,1998,1.79,0.3,3.93,63.2,0.49,2.92,6.41
Mar,1998,1.79,0.3,3.48,63.2,0.49,2.92,5.68
Apr,1998,1.79,0.31,3.31,63.2,0.51,2.92,5.4
May,1998,1.78,0.32,3.04,63.2,0.52,2.9,4.96
Jun,1998,1.7,0.33,2.75,63.2,0.54,2.77,4.49
Jul,1998,1.67,0.32,2.59,63.2,0.52,2.73,4.23
Aug,1998,1.66,0.32,2.72,63.2,0.52,2.71,4.44
Sep,1998,1.64,0.32,2.47,63.2,0.52,2.68,4.03
Oct,1998,1.64,0.3,2.42,63.2,0.49,2.68,3.95
Nov,1998,1.66,0.27,2.57,63.2,0.44,2.71,4.19
Dec,1998,1.66,0.28,2.59,63.2,0.46,2.71,4.23
Jan,1999,1.71,0.3,2.49,59.7,0.48,2.73,3.98
Feb,1999,1.79,0.28,2.33,59.7,0.45,2.86,3.72
Mar,1999,1.76,0.26,2.32,59.7,0.42,2.81,3.71
Apr,1999,1.72,0.24,2.25,59.7,0.38,2.75,3.59
May,1999,1.73,0.24,2.45,59.7,0.38,2.76,3.91
Jun,1999,1.72,0.25,2.36,59.7,0.4,2.75,3.77
Jul,1999,1.78,0.26,2.09,59.7,0.42,2.84,3.34
Aug,1999,1.92,0.24,2.01,59.7,0.38,3.07,3.21
Sep,1999,1.87,0.23,1.86,59.7,0.37,2.99,2.97
Oct,1999,1.85,0.22,2.08,59.7,0.35,2.95,3.32
Nov,1999,1.93,0.23,2.5,59.7,0.37,3.08,3.99
Dec,1999,1.94,0.23,2.74,59.7,0.37,3.1,4.38
Jan,2000,1.95,0.24,2.45,54.49,0.37,3.01,3.79
Feb,2000,1.96,0.24,2.28,54.49,0.37,3.03,3.52
Mar,2000,1.98,0.23,2.22,54.49,0.36,3.06,3.43
Apr,2000,1.98,0.21,2.09,54.49,0.32,3.06,3.23
May,2000,1.99,0.2,2.08,54.49,0.31,3.07,3.21
Jun,2000,1.93,0.2,1.91,54.49,0.31,2.98,2.95
Jul,2000,1.9,0.19,1.93,54.49,0.29,2.94,2.98
Aug,2000,1.89,0.19,1.7,54.49,0.29,2.92,2.63
Sep,2000,1.81,0.18,1.67,54.49,0.28,2.8,2.58
Oct,2000,1.82,0.19,1.69,54.49,0.29,2.81,2.61
Nov,2000,1.97,0.18,1.58,54.49,0.28,3.04,2.44
Dec,2000,1.93,0.18,1.46,54.49,0.28,2.98,2.26
Jan,2001,1.93,0.18,1.45,50.24,0.27,2.9,2.18
Feb,2001,1.92,0.18,1.48,50.24,0.27,2.88,2.22
Mar,2001,1.98,0.18,1.47,50.24,0.27,2.97,2.21
Apr,2001,1.98,0.16,1.46,50.24,0.24,2.97,2.19
May,2001,2.01,0.16,1.53,50.24,0.24,3.02,2.3
Jun,2001,2.05,0.17,1.41,50.24,0.26,3.08,2.12
Jul,2001,2.12,0.17,1.29,50.24,0.26,3.19,1.94
Aug,2001,2.21,0.17,1.32,50.24,0.26,3.32,1.98
Sep,2001,2.36,0.17,1.28,50.24,0.26,3.55,1.92
Oct,2001,2.27,0.17,1.24,50.24,0.26,3.41,1.86
Nov,2001,2.28,0.17,1.3,50.24,0.26,3.43,1.95
Dec,2001,2.16,0.18,1.25,50.24,0.27,3.25,1.88
Jan,2002,2.21,0.19,1.28,47.89,0.28,3.27,1.89
Feb,2002,2.23,0.2,1.3,47.89,0.3,3.3,1.92
Mar,2002,2.35,0.19,1.42,47.89,0.28,3.48,2.1
Apr,2002,2.25,0.19,1.44,47.89,0.28,3.33,2.13
May,2002,2.12,0.2,1.35,47.89,0.3,3.14,2
Jun,2002,2.06,0.2,1.29,47.89,0.3,3.05,1.91
Jul,2002,2.13,0.2,1.25,47.89,0.3,3.15,1.85
Aug,2002,2.1,0.19,1.2,47.89,0.28,3.11,1.77
Sep,2002,2.04,0.19,1.34,47.89,0.28,3.02,1.98
Oct,2002,1.9,0.19,1.45,47.89,0.28,2.81,2.14
Nov,2002,1.91,0.19,1.54,47.89,0.28,2.82,2.28
Dec,2002,2.01,0.19,1.41,47.89,0.28,2.97,2.09
Jan,2003,2.04,0.2,1.45,44.61,0.29,2.95,2.1
Feb,2003,1.99,0.2,1.46,44.61,0.29,2.88,2.11
Mar,2003,2.02,0.2,1.36,44.61,0.29,2.92,1.97
Apr,2003,1.97,0.2,1.43,44.61,0.29,2.85,2.07
May,2003,1.88,0.2,1.46,44.61,0.29,2.72,2.11
Jun,2003,1.87,0.2,1.35,44.61,0.29,2.7,1.95
Jul,2003,1.91,0.2,1.39,44.61,0.29,2.76,2.01
Aug,2003,2.11,0.2,1.41,44.61,0.29,3.05,2.04
Sep,2003,2.27,0.2,1.46,44.61,0.29,3.28,2.11
Oct,2003,2.33,0.2,1.42,44.61,0.29,3.37,2.05
Nov,2003,2.59,0.19,1.37,44.61,0.27,3.75,1.98
Dec,2003,2.55,0.2,1.43,44.61,0.29,3.69,2.07
Jan,2004,2.54,0.21,1.6,40.84,0.3,3.58,2.25
Feb,2004,2.39,0.21,1.68,40.84,0.3,3.37,2.37
Mar,2004,2.34,0.24,1.72,40.84,0.34,3.3,2.42
Apr,2004,2.43,0.24,1.66,40.84,0.34,3.42,2.34
May,2004,2.68,0.23,1.7,40.84,0.32,3.77,2.39
Jun,2004,2.76,0.23,1.81,40.84,0.32,3.89,2.55
